Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 18188.32 | 18188.32
25          | 0      | 2      | 18243.79 | 1.00    
25          | 0      | 3      | 18895.92 | 1.04    
25          | 0      | 4      | 20396.72 | 1.08    
25          | 0      | 5      | 22018.03 | 1.08    
25          | 0.01   | 1      | 20568.95 | 0.93    
25          | 0.01   | 2      | 22639.06 | 1.10    
25          | 0.01   | 3      | 25410.59 | 1.12    
25          | 0.01   | 4      | 25234.66 | 0.99    
25          | 0.01   | 5      | 24397.75 | 0.97    
25          | 0.1    | 1      | 20060.11 | 0.82    
25          | 0.1    | 2      | 21392.26 | 1.07    
25          | 0.1    | 3      | 23302.91 | 1.09    
25          | 0.1    | 4      | 23521.03 | 1.01    
25          | 0.1    | 5      | 23546.83 | 1.00    
25          | 1      | 1      | 19579.83 | 0.83    
25          | 1      | 2      | 20608.36 | 1.05    
25          | 1      | 3      | 22319.65 | 1.08    
25          | 1      | 4      | 23159.85 | 1.04    
25          | 1      | 5      | 23610.96 | 1.02    
50          | 0      | 1      | 18188.32 | 0.77    
50          | 0      | 2      | 18243.79 | 1.00    
50          | 0      | 3      | 18895.92 | 1.04    
50          | 0      | 4      | 20396.72 | 1.08    
50          | 0      | 5      | 22018.03 | 1.08    
50          | 0.01   | 1      | 20568.95 | 0.93    
50          | 0.01   | 2      | 22639.06 | 1.10    
50          | 0.01   | 3      | 25410.59 | 1.12    
50          | 0.01   | 4      | 25234.66 | 0.99    
50          | 0.01   | 5      | 24397.75 | 0.97    
50          | 0.1    | 1      | 20060.11 | 0.82    
50          | 0.1    | 2      | 21392.26 | 1.07    
50          | 0.1    | 3      | 23302.91 | 1.09    
50          | 0.1    | 4      | 23521.03 | 1.01    
50          | 0.1    | 5      | 23546.83 | 1.00    
50          | 1      | 1      | 19579.83 | 0.83    
50          | 1      | 2      | 20608.36 | 1.05    
50          | 1      | 3      | 22319.65 | 1.08    
50          | 1      | 4      | 23159.85 | 1.04    
50          | 1      | 5      | 23610.96 | 1.02    
100         | 0      | 1      | 18188.32 | 0.77    
100         | 0      | 2      | 18243.79 | 1.00    
100         | 0      | 3      | 18895.92 | 1.04    
100         | 0      | 4      | 20396.72 | 1.08    
100         | 0      | 5      | 22018.03 | 1.08    
100         | 0.01   | 1      | 20568.95 | 0.93    
100         | 0.01   | 2      | 22639.06 | 1.10    
100         | 0.01   | 3      | 25410.59 | 1.12    
100         | 0.01   | 4      | 25234.66 | 0.99    
100         | 0.01   | 5      | 24397.75 | 0.97    
100         | 0.1    | 1      | 20060.11 | 0.82    
100         | 0.1    | 2      | 21392.26 | 1.07    
100         | 0.1    | 3      | 23302.91 | 1.09    
