Lang Ref_Size Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 18188.32 | 18188.32
1      | 0      | 50          | 18188.32 | 1.00    
1      | 0      | 100         | 18188.32 | 1.00    
1      | 0.01   | 25          | 20568.95 | 1.13    
1      | 0.01   | 50          | 20568.95 | 1.00    
1      | 0.01   | 100         | 20568.95 | 1.00    
1      | 0.1    | 25          | 20060.11 | 0.98    
1      | 0.1    | 50          | 20060.11 | 1.00    
1      | 0.1    | 100         | 20060.11 | 1.00    
1      | 1      | 25          | 19579.83 | 0.98    
1      | 1      | 50          | 19579.83 | 1.00    
1      | 1      | 100         | 19579.83 | 1.00    
2      | 0      | 25          | 18243.79 | 0.93    
2      | 0      | 50          | 18243.79 | 1.00    
2      | 0      | 100         | 18243.79 | 1.00    
2      | 0.01   | 25          | 22639.06 | 1.24    
2      | 0.01   | 50          | 22639.06 | 1.00    
2      | 0.01   | 100         | 22639.06 | 1.00    
2      | 0.1    | 25          | 21392.26 | 0.94    
2      | 0.1    | 50          | 21392.26 | 1.00    
2      | 0.1    | 100         | 21392.26 | 1.00    
2      | 1      | 25          | 20608.36 | 0.96    
2      | 1      | 50          | 20608.36 | 1.00    
2      | 1      | 100         | 20608.36 | 1.00    
3      | 0      | 25          | 18895.92 | 0.92    
3      | 0      | 50          | 18895.92 | 1.00    
3      | 0      | 100         | 18895.92 | 1.00    
3      | 0.01   | 25          | 25410.59 | 1.34    
3      | 0.01   | 50          | 25410.59 | 1.00    
3      | 0.01   | 100         | 25410.59 | 1.00    
3      | 0.1    | 25          | 23302.91 | 0.92    
3      | 0.1    | 50          | 23302.91 | 1.00    
3      | 0.1    | 100         | 23302.91 | 1.00    
3      | 1      | 25          | 22319.65 | 0.96    
3      | 1      | 50          | 22319.65 | 1.00    
3      | 1      | 100         | 22319.65 | 1.00    
4      | 0      | 25          | 20396.72 | 0.91    
4      | 0      | 50          | 20396.72 | 1.00    
4      | 0      | 100         | 20396.72 | 1.00    
4      | 0.01   | 25          | 25234.66 | 1.24    
4      | 0.01   | 50          | 25234.66 | 1.00    
4      | 0.01   | 100         | 25234.66 | 1.00    
4      | 0.1    | 25          | 23521.03 | 0.93    
4      | 0.1    | 50          | 23521.03 | 1.00    
4      | 0.1    | 100         | 23521.03 | 1.00    
4      | 1      | 25          | 23159.85 | 0.98    
4      | 1      | 50          | 23159.85 | 1.00    
4      | 1      | 100         | 23159.85 | 1.00    
5      | 0      | 25          | 22018.03 | 0.95    
5      | 0      | 50          | 22018.03 | 1.00    
5      | 0      | 100         | 22018.03 | 1.00    
5      | 0.01   | 25          | 24397.75 | 1.11    
5      | 0.01   | 50          | 24397.75 | 1.00    
5      | 0.01   | 100         | 24397.75 | 1.00    
5      | 0.1    | 25          | 23546.83 | 0.97    
5      | 0.1    | 50          | 23546.83 | 1.00    
5      | 0.1    | 100         | 23546.83 | 1.00    
5      | 1      | 25          | 23610.96 | 1.00    
5      | 1      | 50          | 23610.96 | 1.00    
5      | 1      | 100         | 23610.96 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_romanian.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 19159340.07 | 811.46  
1      | 0      | 50          | 19159340.07 | 1.00    
1      | 0      | 100         | 19159340.07 | 1.00    
1      | 0.01   | 25          | 23691919.88 | 1.24    
1      | 0.01   | 50          | 23691919.88 | 1.00    
1      | 0.01   | 100         | 23691919.88 | 1.00    
1      | 0.1    | 25          | 22688515.03 | 0.96    
1      | 0.1    | 50          | 22688515.03 | 1.00    
1      | 0.1    | 100         | 22688515.03 | 1.00    
1      | 1      | 25          | 21940729.00 | 0.97    
1      | 1      | 50          | 21940729.00 | 1.00    
1      | 1      | 100         | 21940729.00 | 1.00    
2      | 0      | 25          | 20092933.15 | 0.92    
2      | 0      | 50          | 20092933.15 | 1.00    
2      | 0      | 100         | 20092933.15 | 1.00    
