Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 18188.32 | 18188.32
25          | 2      | 0      | 18243.79 | 1.00    
25          | 3      | 0      | 18895.92 | 1.04    
25          | 4      | 0      | 20396.72 | 1.08    
25          | 5      | 0      | 22018.03 | 1.08    
25          | 1      | 0.01   | 20568.95 | 0.93    
25          | 2      | 0.01   | 22639.06 | 1.10    
25          | 3      | 0.01   | 25410.59 | 1.12    
25          | 4      | 0.01   | 25234.66 | 0.99    
25          | 5      | 0.01   | 24397.75 | 0.97    
25          | 1      | 0.1    | 20060.11 | 0.82    
25          | 2      | 0.1    | 21392.26 | 1.07    
25          | 3      | 0.1    | 23302.91 | 1.09    
25          | 4      | 0.1    | 23521.03 | 1.01    
25          | 5      | 0.1    | 23546.83 | 1.00    
25          | 1      | 1      | 19579.83 | 0.83    
25          | 2      | 1      | 20608.36 | 1.05    
25          | 3      | 1      | 22319.65 | 1.08    
25          | 4      | 1      | 23159.85 | 1.04    
25          | 5      | 1      | 23610.96 | 1.02    
50          | 1      | 0      | 18188.32 | 0.77    
50          | 2      | 0      | 18243.79 | 1.00    
50          | 3      | 0      | 18895.92 | 1.04    
50          | 4      | 0      | 20396.72 | 1.08    
50          | 5      | 0      | 22018.03 | 1.08    
50          | 1      | 0.01   | 20568.95 | 0.93    
50          | 2      | 0.01   | 22639.06 | 1.10    
50          | 3      | 0.01   | 25410.59 | 1.12    
50          | 4      | 0.01   | 25234.66 | 0.99    
50          | 5      | 0.01   | 24397.75 | 0.97    
50          | 1      | 0.1    | 20060.11 | 0.82    
50          | 2      | 0.1    | 21392.26 | 1.07    
50          | 3      | 0.1    | 23302.91 | 1.09    
50          | 4      | 0.1    | 23521.03 | 1.01    
50          | 5      | 0.1    | 23546.83 | 1.00    
50          | 1      | 1      | 19579.83 | 0.83    
50          | 2      | 1      | 20608.36 | 1.05    
50          | 3      | 1      | 22319.65 | 1.08    
50          | 4      | 1      | 23159.85 | 1.04    
50          | 5      | 1      | 23610.96 | 1.02    
100         | 1      | 0      | 18188.32 | 0.77    
100         | 2      | 0      | 18243.79 | 1.00    
100         | 3      | 0      | 18895.92 | 1.04    
100         | 4      | 0      | 20396.72 | 1.08    
100         | 5      | 0      | 22018.03 | 1.08    
100         | 1      | 0.01   | 20568.95 | 0.93    
100         | 2      | 0.01   | 22639.06 | 1.10    
100         | 3      | 0.01   | 25410.59 | 1.12    
100         | 4      | 0.01   | 25234.66 | 0.99    
100         | 5      | 0.01   | 24397.75 | 0.97    
100         | 1      | 0.1    | 20060.11 | 0.82    
100         | 2      | 0.1    | 21392.26 | 1.07    
100         | 3      | 0.1    | 23302.91 | 1.09    
100         | 4      | 0.1    | 23521.03 | 1.01    
100         | 5      | 0.1    | 23546.83 | 1.00    
100         | 1      | 1      | 19579.83 | 0.83    
100         | 2      | 1      | 20608.36 | 1.05    
100         | 3      | 1      | 22319.65 | 1.08    
100         | 4      | 1      | 23159.85 | 1.04    
100         | 5      | 1      | 23610.96 | 1.02    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_romanian.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 19159340.07 | 811.46  
25          | 2      | 0      | 20092933.15 | 1.05    
25          | 3      | 0      | 20541277.91 | 1.02    
25          | 4      | 0      | 22143661.85 | 1.08    
25          | 5      | 0      | 23274810.74 | 1.05    
25          | 1      | 0.01   | 23691919.88 | 1.02    
25          | 2      | 0.01   | 26013983.95 | 1.10    
25          | 3      | 0.01   | 28840292.75 | 1.11    
25          | 4      | 0.01   | 26898154.64 | 0.93    
25          | 5      | 0.01   | 25089385.75 | 0.93    
25          | 1      | 0.1    | 22688515.03 | 0.90    
25          | 2      | 0.1    | 24498612.79 | 1.08    
25          | 3      | 0.1    | 26111664.95 | 1.07    
25          | 4      | 0.1    | 25143844.96 | 0.96    
25          | 5      | 0.1    | 24404715.50 | 0.97    
25          | 1      | 1      | 21940729.00 | 0.90    
25          | 2      | 1      | 23303909.59 | 1.06    
25          | 3      | 1      | 24494951.73 | 1.05    
25          | 4      | 1      | 24509065.39 | 1.00    
25          | 5      | 1      | 24336292.63 | 0.99    
50          | 1      | 0      | 19159340.07 | 0.79    
50          | 2      | 0      | 20092933.15 | 1.05    
50          | 3      | 0      | 20541277.91 | 1.02    
50          | 4      | 0      | 22143661.85 | 1.08    
50          | 5      | 0      | 23274810.74 | 1.05    
50          | 1      | 0.01   | 23691919.88 | 1.02    
50          | 2      | 0.01   | 26013983.95 | 1.10    
50          | 3      | 0.01   | 28840292.75 | 1.11    
50          | 4      | 0.01   | 26898154.64 | 0.93    
50          | 5      | 0.01   | 25089385.75 | 0.93    
50          | 1      | 0.1    | 22688515.03 | 0.90    
50          | 2      | 0.1    | 24498612.79 | 1.08    
50          | 3      | 0.1    | 26111664.95 | 1.07    
50          | 4      | 0.1    | 25143844.96 | 0.96    
50          | 5      | 0.1    | 24404715.50 | 0.97    
50          | 1      | 1      | 21940729.00 | 0.90    
50          | 2      | 1      | 23303909.59 | 1.06    
50          | 3      | 1      | 24494951.73 | 1.05    
50          | 4      | 1      | 24509065.39 | 1.00    
50          | 5      | 1      | 24336292.63 | 0.99    
100         | 1      | 0      | 19159340.07 | 0.79    
100         | 2      | 0      | 20092933.15 | 1.05    
100         | 3      | 0      | 20541277.91 | 1.02    
100         | 4      | 0      | 22143661.85 | 1.08    
100         | 5      | 0      | 23274810.74 | 1.05    
100         | 1      | 0.01   | 23691919.88 | 1.02    
100         | 2      | 0.01   | 26013983.95 | 1.10    
100         | 3      | 0.01   | 28840292.75 | 1.11    
100         | 4      | 0.01   | 26898154.64 | 0.93    
100         | 5      | 0.01   | 25089385.75 | 0.93    
100         | 1      | 0.1    | 22688515.03 | 0.90    
100         | 2      | 0.1    | 24498612.79 | 1.08    
100         | 3      | 0.1    | 26111664.95 | 1.07    
100         | 4      | 0.1    | 25143844.96 | 0.96    
100         | 5      | 0.1    | 24404715.50 | 0.97    
100         | 1      | 1      | 21940729.00 | 0.90    
100         | 2      | 1      | 23303909.59 | 1.06    
100         | 3      | 1      | 24494951.73 | 1.05    
100         | 4      | 1      | 24509065.39 | 1.00    
100         | 5      | 1      | 24336292.63 | 0.99    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_italian.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 15799066.94 | 0.65    
25          | 2      | 0      | 16888871.45 | 1.07    
25          | 3      | 0      | 17641807.26 | 1.04    
25          | 4      | 0      | 19146152.90 | 1.09    
25          | 5      | 0      | 21049191.91 | 1.10    
25          | 1      | 0.01   | 16980389.56 | 0.81    
25          | 2      | 0.01   | 19290468.94 | 1.14    
25          | 3      | 0.01   | 23516593.86 | 1.22    
25          | 4      | 0.01   | 24768287.83 | 1.05    
25          | 5      | 0.01   | 24354561.55 | 0.98    
25          | 1      | 0.1    | 16745504.67 | 0.69    
25          | 2      | 0.1    | 18681664.53 | 1.12    
25          | 3      | 0.1    | 21594180.99 | 1.16    
